block	 speed_alphabet	 condition	 toneNum	 transition
1	 1	 3	 1	 0
 1	 1	 3	 2	 0
 1	 1	 3	 3	 0
 1	 1	 3	 4	 0
 1	 1	 3	 5	 0
 1	 1	 3	 6	 0
 1	 1	 3	 7	 0
 1	 1	 3	 8	 0
 1	 1	 3	 9	 0
 1	 1	 3	 10	 0
 1	 1	 3	 11	 0
 1	 1	 3	 12	 0
 1	 1	 3	 13	 0
 1	 1	 3	 14	 0
 1	 1	 3	 15	 0
 1	 1	 3	 16	 0
 1	 1	 3	 17	 0
 1	 1	 3	 18	 0
 1	 1	 3	 19	 0
 1	 1	 3	 20	 0
 1	 1	 3	 21	 0
 1	 1	 3	 22	 0
 1	 1	 3	 23	 0
 1	 1	 3	 24	 0
 1	 1	 3	 25	 0
 1	 1	 3	 26	 0
 1	 1	 3	 27	 0
 1	 1	 3	 28	 0
 1	 1	 3	 29	 0
 1	 1	 3	 30	 0
 1	 1	 3	 31	 0
 1	 1	 3	 32	 0
 1	 1	 3	 33	 0
 1	 1	 3	 34	 0
 1	 1	 3	 35	 0
 1	 1	 3	 36	 0
 1	 1	 3	 37	 0
 1	 1	 3	 38	 0
 1	 1	 3	 39	 0
 1	 1	 3	 40	 0
 1	 1	 3	 41	 0
 1	 1	 3	 42	 0
 1	 1	 3	 43	 0
 1	 1	 3	 44	 0
 1	 1	 3	 45	 0
 1	 1	 3	 46	 0
 1	 1	 3	 47	 0
 1	 1	 3	 48	 0
 1	 1	 3	 49	 0
 1	 1	 3	 50	 0
 1	 1	 3	 51	 0
 1	 1	 3	 52	 0
 1	 1	 3	 53	 0
 1	 1	 3	 54	 0
 1	 1	 3	 55	 0
 1	 1	 3	 56	 0
 1	 1	 3	 57	 0
 1	 1	 3	 58	 0
 1	 1	 3	 59	 0
 1	 1	 3	 60	 0
 1	 1	 3	 61	 0
 1	 1	 3	 62	 0
 1	 1	 3	 63	 0
 1	 1	 3	 64	 0
 1	 1	 3	 65	 0
 1	 1	 3	 66	 0
 1	 1	 3	 67	 0
 1	 1	 3	 68	 0
 1	 1	 3	 69	 0
 1	 1	 3	 70	 0
 1	 1	 3	 71	 0
 1	 1	 3	 72	 0
 1	 1	 3	 73	 0
 1	 1	 3	 74	 0
 1	 1	 3	 75	 0
 1	 1	 3	 76	 0
 1	 1	 3	 77	 0
 1	 1	 3	 78	 0
 1	 1	 3	 79	 0
 1	 1	 3	 80	 0
 1	 1	 3	 81	 0
 1	 1	 3	 82	 0
 1	 1	 3	 83	 0
 1	 1	 3	 84	 0
 1	 1	 3	 85	 0
 1	 1	 3	 86	 0
 1	 1	 3	 87	 0
 1	 1	 3	 88	 0
 1	 1	 3	 89	 0
 1	 1	 3	 90	 0
 1	 1	 3	 91	 0
 1	 1	 3	 92	 0
 1	 1	 3	 93	 0
 1	 1	 3	 94	 0
 1	 1	 3	 95	 0
 1	 1	 3	 96	 0
 1	 1	 3	 97	 0
 1	 1	 3	 98	 0
 1	 1	 3	 99	 0
 1	 1	 3	 100	 0
 1	 1	 3	 101	 0
 1	 1	 3	 102	 0
 1	 1	 3	 103	 0
 1	 1	 3	 104	 0
 1	 1	 3	 105	 0
 1	 1	 3	 106	 0
 1	 1	 3	 107	 0
 1	 1	 3	 108	 0
 1	 1	 3	 109	 0
 1	 1	 3	 110	 0
 1	 1	 3	 111	 0
 1	 1	 3	 112	 0
 1	 1	 3	 113	 0
 1	 1	 3	 114	 0
 1	 1	 3	 115	 0
 1	 1	 3	 116	 0
 1	 1	 3	 117	 0
 1	 1	 3	 118	 0
 1	 1	 3	 119	 0
 1	 1	 3	 120	 0
 1	 1	 3	 121	 0
 1	 1	 3	 122	 0
 1	 1	 3	 123	 0
 1	 1	 3	 124	 0
 1	 1	 3	 125	 0
 1	 1	 3	 126	 0
 1	 1	 3	 127	 0
 1	 1	 3	 128	 0
 1	 1	 3	 129	 0
 1	 1	 3	 130	 0
 1	 1	 4	 1	 90
 1	 1	 4	 2	 90
 1	 1	 4	 3	 90
 1	 1	 4	 4	 90
 1	 1	 4	 5	 90
 1	 1	 4	 6	 90
 1	 1	 4	 7	 90
 1	 1	 4	 8	 90
 1	 1	 4	 9	 90
 1	 1	 4	 10	 90
 1	 1	 4	 11	 90
 1	 1	 4	 12	 90
 1	 1	 4	 13	 90
 1	 1	 4	 14	 90
 1	 1	 4	 15	 90
 1	 1	 4	 16	 90
 1	 1	 4	 17	 90
 1	 1	 4	 18	 90
 1	 1	 4	 19	 90
 1	 1	 4	 20	 90
 1	 1	 4	 21	 90
 1	 1	 4	 22	 90
 1	 1	 4	 23	 90
 1	 1	 4	 24	 90
 1	 1	 4	 25	 90
 1	 1	 4	 26	 90
 1	 1	 4	 27	 90
 1	 1	 4	 28	 90
 1	 1	 4	 29	 90
 1	 1	 4	 30	 90
 1	 1	 4	 31	 90
 1	 1	 4	 32	 90
 1	 1	 4	 33	 90
 1	 1	 4	 34	 90
 1	 1	 4	 35	 90
 1	 1	 4	 36	 90
 1	 1	 4	 37	 90
 1	 1	 4	 38	 90
 1	 1	 4	 39	 90
 1	 1	 4	 40	 90
 1	 1	 4	 41	 90
 1	 1	 4	 42	 90
 1	 1	 4	 43	 90
 1	 1	 4	 44	 90
 1	 1	 4	 45	 90
 1	 1	 4	 46	 90
 1	 1	 4	 47	 90
 1	 1	 4	 48	 90
 1	 1	 4	 49	 90
 1	 1	 4	 50	 90
 1	 1	 4	 51	 90
 1	 1	 4	 52	 90
 1	 1	 4	 53	 90
 1	 1	 4	 54	 90
 1	 1	 4	 55	 90
 1	 1	 4	 56	 90
 1	 1	 4	 57	 90
 1	 1	 4	 58	 90
 1	 1	 4	 59	 90
 1	 1	 4	 60	 90
 1	 1	 4	 61	 90
 1	 1	 4	 62	 90
 1	 1	 4	 63	 90
 1	 1	 4	 64	 90
 1	 1	 4	 65	 90
 1	 1	 4	 66	 90
 1	 1	 4	 67	 90
 1	 1	 4	 68	 90
 1	 1	 4	 69	 90
 1	 1	 4	 70	 90
 1	 1	 4	 71	 90
 1	 1	 4	 72	 90
 1	 1	 4	 73	 90
 1	 1	 4	 74	 90
 1	 1	 4	 75	 90
 1	 1	 4	 76	 90
 1	 1	 4	 77	 90
 1	 1	 4	 78	 90
 1	 1	 4	 79	 90
 1	 1	 4	 80	 90
 1	 1	 4	 81	 90
 1	 1	 4	 82	 90
 1	 1	 4	 83	 90
 1	 1	 4	 84	 90
 1	 1	 4	 85	 90
 1	 1	 4	 86	 90
 1	 1	 4	 87	 90
 1	 1	 4	 88	 90
 1	 1	 4	 89	 90
 1	 1	 4	 90	 90
 1	 1	 4	 91	 90
 1	 1	 4	 92	 90
 1	 1	 4	 93	 90
 1	 1	 4	 94	 90
 1	 1	 4	 95	 90
 1	 1	 4	 96	 90
 1	 1	 4	 97	 90
 1	 1	 4	 98	 90
 1	 1	 4	 99	 90
 1	 1	 4	 100	 90
 1	 1	 4	 101	 90
 1	 1	 4	 102	 90
 1	 1	 4	 103	 90
 1	 1	 4	 104	 90
 1	 1	 4	 105	 90
 1	 1	 4	 106	 90
 1	 1	 4	 107	 90
 1	 1	 4	 108	 90
 1	 1	 4	 109	 90
 1	 1	 4	 110	 90
 1	 1	 4	 111	 90
 1	 1	 4	 112	 90
 1	 1	 4	 113	 90
 1	 1	 4	 114	 90
 1	 1	 4	 115	 90
 1	 1	 4	 116	 90
 1	 1	 4	 117	 90
 1	 1	 4	 118	 90
 1	 1	 4	 119	 90
 1	 1	 4	 120	 90
 1	 1	 4	 121	 90
 1	 1	 4	 122	 90
 1	 1	 4	 123	 90
 1	 1	 4	 124	 90
 1	 1	 4	 125	 90
 1	 1	 4	 126	 90
 1	 1	 4	 127	 90
 1	 1	 4	 128	 90
 1	 1	 4	 129	 90
 1	 1	 4	 130	 90
